A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,label
3,2,4,6,9,1,4,5,1,4,6,8,1,3,5,3,4,3,2,4,5,9,1,3,5,1,4,5,8,1,4,5,2,5,1
3,2,3,6,9,1,4,5,1,3,6,8,1,3,6,2,4,2,2,3,5,9,1,3,5,2,3,5,8,2,4,6,1,4,1
2,2,3,5,9,1,4,5,2,3,6,7,2,4,6,3,4,2,2,4,6,9,1,3,5,2,3,6,8,2,3,6,2,4,1
2,2,3,6,9,1,4,5,2,3,6,8,1,3,6,2,4,3,2,3,5,8,2,4,6,2,3,5,7,2,3,6,3,4,1
3,2,4,6,9,1,3,5,1,3,6,8,1,4,5,3,5,2,2,4,5,8,1,3,5,2,3,5,8,2,3,6,2,4,1
2,2,3,6,9,1,4,5,1,4,6,7,2,3,6,2,4,2,2,4,5,8,1,4,5,2,3,5,8,2,3,6,2,5,1
2,2,3,7,9,2,4,5,2,4,6,7,2,3,5,3,4,2,2,4,5,8,1,4,6,2,3,5,8,2,3,5,2,4,1
2,2,3,6,8,2,4,6,1,3,6,8,1,4,5,3,4,2,2,4,5,9,1,3,6,2,3,5,8,1,3,5,3,4,1
3,2,3,6,9,2,4,6,2,3,6,7,1,3,5,1,4,3,2,4,5,9,1,3,5,2,4,5,8,2,3,5,3,4,1
3,2,4,6,9,1,4,5,1,4,6,7,2,3,6,3,4,3,2,4,5,8,1,3,5,1,4,6,8,2,4,5,1,4,1
2,2,4,6,9,2,3,5,2,4,6,7,1,3,5,2,4,2,2,4,5,9,1,3,5,2,4,6,8,2,4,5,1,4,0
3,2,4,6,8,2,4,5,1,3,6,8,1,3,5,1,4,3,2,3,5,9,1,3,5,1,4,6,8,1,3,5,1,4,0
2,2,4,6,9,2,3,5,2,3,6,7,1,4,6,3,4,2,2,4,5,8,1,3,5,1,3,5,8,2,4,6,2,4,0
2,1,3,7,9,2,3,5,2,3,6,7,2,3,5,2,4,2,2,4,5,8,1,4,6,1,3,5,8,2,4,6,2,5,0
2,2,3,6,9,2,4,5,2,4,6,7,2,4,5,3,5,2,2,3,5,9,1,4,5,2,3,6,8,1,3,5,3,4,0
2,2,3,7,9,2,4,6,2,3,6,7,1,3,6,3,4,3,2,3,5,9,2,4,6,2,3,5,8,1,3,5,3,4,0
3,2,4,6,8,1,4,6,2,3,6,8,2,4,5,2,4,3,2,4,5,9,1,4,5,2,3,6,8,2,3,6,2,4,0
2,2,4,6,8,1,3,5,2,3,6,7,2,4,5,2,5,2,2,3,5,9,1,4,5,2,3,6,8,1,4,5,2,5,0
3,2,4,7,8,1,4,5,1,3,6,7,2,3,5,2,4,2,2,3,5,9,1,3,5,2,4,6,8,2,4,6,2,5,0
3,2,3,6,9,1,4,6,2,3,6,8,1,3,5,1,4,2,2,4,6,8,1,3,6,2,3,6,8,2,4,6,3,4,0
2,2,4,5,8,2,3,5,2,4,5,7,2,3,5,3,4,2,2,3,5,9,1,3,5,2,3,5,8,2,4,6,1,4,1
